square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,has_pool,has_basement,neighborhood_score,price
2419,1,1,34,3268.239215425739,3,0,0,7.112545295841936,495157.15906625445
1182,1,2,47,7229.013919830547,3,1,1,1.6666741648940295,293062.95453856303
3235,3,2,4,16499.162231896298,0,1,1,9.935489185137778,761561.8668538505
1324,4,3,47,12348.935188283525,3,0,0,4.671048131021713,360080.38560929016
3486,2,3,31,8479.074885271399,2,0,0,3.586622804609343,659263.3930833074
3785,2,3,2,9995.277528125407,2,0,0,6.02091265220097,769285.2885852363
1075,3,2,46,17236.40047084143,0,0,0,3.738768326387779,301144.9882839236
3347,3,2,34,7460.083335137951,0,0,0,1.778117564081371,593729.5827895018
3564,3,1,13,17523.344011431254,0,1,0,1.0128550877125906,642743.879936078
1136,5,2,47,2674.5541885571383,0,0,0,5.046250176282361,263373.79053496954
2773,5,1,30,15759.170306963984,0,0,1,8.53177080003933,622934.0684129352
3779,5,3,30,17103.40502803999,3,0,1,6.150836670670689,834910.4128623396
1280,1,3,16,4454.535403909436,0,0,1,9.992865690490968,382869.5141723111
1710,2,2,23,9176.584115071808,3,0,0,3.5816198108247996,399578.0073648031
2796,4,3,22,4144.495718609456,1,0,0,3.524095582840498,549711.5667637046
3929,1,3,17,14425.478450890138,0,1,1,2.4377451421054976,759772.8087085307
2151,2,2,49,11171.607593171479,0,1,0,2.4765722943880166,463094.6758905475
2833,2,1,13,13071.1435874581,3,0,1,3.5666793640904304,597728.9085158559
2554,3,2,49,4733.252372168012,1,1,1,8.135560407461744,559942.9540093503
908,3,1,14,5023.17137899597,3,0,0,9.15181111572803,340699.9579570853
1127,1,2,14,1788.449184688221,3,0,1,9.775784527369131,386749.59201705444
2599,3,2,5,7119.2831687188645,0,0,0,3.090606886868074,488937.6357076017
1114,2,3,26,11635.148565339825,2,0,0,8.931677910526826,393042.7233361776
1934,3,2,14,17300.76336594925,2,1,1,3.9542958034960334,581944.5670184343
3546,5,2,49,13671.621501714933,3,0,0,2.0155649006519596,705517.8673360981
1580,3,1,35,9272.530144595277,0,0,1,8.83022432968149,416473.74674307683
2320,2,3,7,19109.282173488617,1,0,0,6.724950711792567,579181.2391874965
955,1,1,14,14665.658810940806,2,0,0,2.4825780647295557,285207.7050518144
2296,4,1,2,18673.13885438845,1,0,0,4.868481317617023,563548.4907791101
2524,3,3,46,11024.171492171148,2,0,1,3.585319253893609,527678.7125164082
1686,2,3,12,5919.181221069653,0,0,0,7.631151118391773,417277.74472348945
3873,4,3,40,2003.7070409297178,3,0,0,5.080746075618412,685386.0386708846
3605,4,2,33,14795.61217819316,1,1,1,9.903519505957465,806076.9236181105
1521,5,3,23,3304.7569621051484,1,0,0,1.492704840336356,333047.06133744784
1712,4,3,39,6752.727437167377,3,0,1,4.1951373952262205,443798.56272080884
1670,2,3,31,11116.94724979405,1,0,0,5.337101503989796,383828.1407460477
812,2,1,31,11723.915167815207,2,0,1,5.5282019927348784,275955.2495572429
3455,3,1,29,12411.080742755585,3,0,1,3.8434224014707308,707570.5127388973
1297,3,2,48,4158.851276644313,2,0,0,7.563162241878112,329449.21577311767
2556,3,1,12,8215.010691611325,2,1,0,8.872723661400773,550103.5745237067
3085,4,2,0,12726.690315222368,0,0,1,9.448473717800766,711018.8518166991
1917,4,1,33,19426.55842804191,2,1,0,8.245840391195735,529910.6161903142
3628,5,3,14,14824.991616294084,0,1,1,8.655221775759394,824159.4671176064
1994,3,1,43,18529.4713847852,1,0,0,5.954907705579959,468199.04225047375
2804,1,2,13,15482.029107969363,1,0,0,8.43299403784133,663328.0208078608
3453,5,1,28,12242.622408955609,0,0,0,3.73153518233157,636317.0091510236
3508,1,3,33,4648.444013590546,2,1,1,4.58630885898293,741475.2208956674
2447,4,2,17,13667.027385957748,3,1,0,3.8522171243668986,571594.5775584307
2390,5,3,6,12844.211753238234,3,0,1,5.206486019031329,609454.8504808671
3696,5,3,28,12446.914238688063,0,0,1,3.5702165461477273,736840.8083028279
3783,2,2,30,10305.931491776575,1,0,0,9.654502980290022,746192.0160646741
2290,4,3,24,11044.475475796236,1,1,0,3.815601652051013,522181.7958308386
3475,4,3,37,7354.408015243977,3,1,1,1.8824008429984584,714371.2077470772
942,5,1,13,10866.94116020376,0,0,0,5.741354494453721,283332.2568730149
2024,4,3,7,4753.562207891087,3,0,1,1.5138917060065873,470288.89898437477
3561,5,3,26,16298.313549847158,2,0,0,1.9948884967772247,689900.598015972
3326,2,3,1,4529.762139275448,2,0,0,2.9745045027662167,637264.4311468747
1364,5,3,16,2614.359507899862,0,1,1,5.179152248939275,408446.17214753584
3318,4,2,36,9288.67450078599,0,0,0,4.899258390781251,619645.5742655951
3231,4,1,13,13507.841350615176,2,0,0,8.19722675802512,712236.3263677019
2515,5,3,24,9316.619673737287,1,0,0,7.6552718849570205,592413.5254307431
3773,5,3,29,6258.328507074863,0,1,0,4.836864645916312,778078.8181016942
1216,5,2,28,11605.252493918373,2,0,0,4.003337868180669,345355.51350517676
2648,3,3,19,7593.044372831799,2,0,1,3.8482190565534875,626467.1305041484
3155,4,2,20,18724.48611240603,1,0,0,7.965955785646081,666716.3453319862
3496,4,1,21,18530.25765246787,1,1,0,1.4686516559914278,697647.728809531
2517,3,1,34,10545.064579469814,1,1,1,1.1153948455954525,478457.87714084494
2190,5,3,36,7229.795886346912,1,0,0,8.159899527339832,568269.0582421282
3872,2,3,15,15005.515865176143,3,0,0,5.2943173839014435,785036.7332885783
1867,5,3,49,1697.5459261782662,1,0,1,2.177930246982184,400383.3305533275
3586,5,2,48,10020.611114829373,3,0,1,3.120093411350511,723068.7516493562
2666,3,3,42,7390.144491136337,0,0,0,9.392535577876442,584679.9745079004
1921,4,3,16,18490.181816948538,2,1,1,8.735526780624081,584080.9457629567
2088,5,1,15,1228.0575181809684,3,0,0,7.388065452015753,449587.99709848146
2606,4,3,1,11503.482638648633,0,1,1,5.340027073035939,624687.9519702712
2987,1,1,3,15072.608040265894,0,0,0,5.682912635722472,611318.8392123438
2304,4,3,20,10215.341762956783,3,0,0,9.777200817555627,607356.2617183748
3821,2,1,38,2622.6575730917116,0,0,0,9.691933994958584,737437.1648211748
1816,2,3,33,19476.76641053014,0,0,0,2.9374214120725086,404182.66808509594
1752,5,1,29,10842.19819614586,3,0,0,8.299941096747864,473156.0580011538
3751,4,2,5,12669.538642061216,0,0,1,2.775183995503151,760084.2898817662
871,5,1,16,5495.5858714426395,1,0,0,2.9218373009555627,249855.85387799153
2490,3,1,38,10186.463617029272,1,0,0,7.084837307481191,482517.2420860928
2091,2,1,24,9153.840347208115,2,0,0,4.6450098872879355,419048.50911192154
2144,5,3,4,2423.0209980376912,0,1,0,9.383899663958681,547125.4986233216
2954,3,3,4,3017.0467174018772,2,0,1,1.8010876140640795,586040.055625317
3913,5,3,19,16911.977872756717,1,1,0,5.6037307672854375,854497.5910034585
1682,4,2,15,5556.579091925215,1,0,0,9.266693773988091,427629.65432854334
938,4,2,40,4704.207158473981,1,0,0,9.137022944315547,318788.92993391136
3462,4,1,36,10593.317573752645,0,0,1,2.4087629207416708,629436.9509182534
3710,4,2,39,15606.195495887745,0,1,0,4.299739300868108,753227.5303609937
3120,1,1,8,2176.9838530007705,1,0,0,6.572092600420266,574670.0892112773
2304,3,1,4,11959.35047312686,2,0,0,2.4345539629426196,472325.0915918024
3263,3,1,41,3264.998413970894,2,0,0,9.712199548411649,674560.6601692247
3353,4,2,1,1692.7599656867505,3,0,0,9.232743958548943,663128.5204106756
1532,1,3,8,2002.1350910821304,1,0,1,2.5025516113102224,336003.7719083023
2548,4,2,42,16849.118055960385,2,0,1,2.0903991513488687,550491.4705068045
1223,1,1,35,3241.4771889331696,1,0,1,1.7686763452743877,284528.1901145352
2391,4,1,21,1857.875923833547,2,1,0,9.18499297632968,552257.2695348728
1189,2,2,21,9320.097855715334,3,0,0,2.742614288159147,302890.4246527603
1141,2,1,21,17035.87596689847,3,0,0,4.746564356899192,346700.7176170768
1745,5,1,33,5985.759153296736,1,0,1,5.039662290868027,450800.56615477457
1413,4,2,28,9012.53973299241,2,0,0,6.391099397922108,373998.18000958255
1292,3,2,37,1758.5281187112732,0,0,1,1.6456180937268248,240259.85808621347
991,5,2,45,9532.491768562642,3,0,0,3.0408275566046434,314040.8716581359
1298,2,1,32,11974.64853210554,1,1,0,9.383413482270335,401680.1848313874
1621,4,1,17,11847.234021290751,1,1,0,9.175690965417125,481963.77122842224
2535,5,3,6,7316.107151312938,2,1,0,8.03161582665123,638599.2092405161
2056,4,3,0,6995.130432599575,1,0,1,1.1746112105639388,498535.8772833132
2768,2,2,32,3025.84875979536,3,0,1,3.943060916464919,508397.1031561053
1026,5,3,0,7969.168092279099,1,0,0,6.65162861808617,339206.06274935056
2194,2,1,23,2890.398708586328,1,0,0,3.476711905961281,423063.17928146815
2986,1,3,3,15565.322949528982,0,0,1,9.186280255483997,663976.907268196
3703,2,1,3,19359.211657215532,0,0,1,6.705005156491977,738664.3503858101
1616,4,2,17,19431.41467666743,3,0,0,1.6471604558480104,478845.5689875226
3986,3,2,26,17436.35088813248,2,0,0,9.181050299521328,807493.4148025899
2273,2,1,42,12415.050837452764,0,0,0,9.619899923586003,506198.8126809109
1886,3,3,31,14316.448247633718,2,0,0,1.6994117655255294,445789.00986879575
903,1,2,32,6418.910250927867,3,0,0,5.791242113751834,299639.70523142326
2674,5,2,27,12984.637983279792,0,0,0,3.730278539927534,532449.9141500249
1670,5,3,41,9657.341439357671,2,0,0,4.535551688332621,442951.72711023956
1467,3,3,40,10158.329455761717,0,0,0,2.616860961598077,334202.71572958777
2842,5,1,35,15397.754647128,3,1,0,6.202648918111713,669367.4866686062
1072,2,3,5,6356.448756347781,3,0,1,9.621814179240015,372164.2310536019
1829,3,3,15,7042.752622195878,0,0,1,5.527653402444481,478786.42225913977
3031,4,3,33,18568.194031444098,2,0,0,1.7462312325503304,631433.8821141988
1851,2,1,22,2068.2616021684726,1,0,1,6.580012001296676,351551.8339060108
2373,2,1,49,10227.051669853467,1,1,1,4.062006950061313,485428.3428550544
3990,2,2,41,18343.215207749374,0,0,0,8.70332670632168,801523.3408905857
1092,4,1,23,12596.897148544984,2,0,0,4.912103334848232,357052.5965544534
3024,1,2,48,11381.734410030509,1,1,1,2.7355564804802106,571695.9402436562
2905,5,3,12,5745.139405357749,3,0,1,2.7199506042203048,594902.2805267102
2092,3,2,17,7522.234292224517,2,0,1,7.918877626490444,532311.5058002067
1107,1,2,12,17188.919900289166,1,0,1,3.3902883847662393,315392.98098986415
1776,3,3,48,11625.144503600704,2,0,1,7.9051005474330065,481997.05916449975
3976,5,2,36,10780.101681378817,0,0,0,2.8529857968993944,737657.3427065078
2051,4,1,42,2892.0145572605497,2,0,0,3.8951773183117844,415413.43669627985
2070,2,1,38,1304.5349726473394,1,1,0,5.189382751957295,397919.5381751576
3547,2,1,41,19310.018585053935,0,0,0,9.488762647241057,719447.8316641889
2317,4,1,16,8162.737178449991,2,0,1,9.385582822784421,566917.40295514
2930,1,2,14,12461.048179890582,3,0,0,2.8618468788005904,569503.7926240631
2009,1,2,17,2514.5863905584147,1,1,1,4.223971371187655,403463.26186228514
3099,3,3,22,13979.171428737885,0,1,0,2.3445944960839507,666747.8018615625
2178,4,2,29,18718.767465413257,2,0,0,5.5898657138214745,557454.4020928646
2573,1,2,33,11937.639806950974,3,0,0,5.145242956251999,579940.6765125816
2519,4,2,3,3396.1911251328006,1,0,0,9.106841462056591,578078.7232705689
2842,5,3,2,12052.709021996057,3,0,1,9.370048400119654,687901.1560785469
1595,2,1,6,15560.597048988395,2,0,1,4.452106519065628,426501.43523679813
1696,2,2,17,8721.914194906354,2,0,1,5.425641487170905,404453.4207518759
2761,2,3,41,17716.91721088789,0,0,0,9.066126242315198,604863.6565432257
1009,4,3,6,13324.976113789926,3,1,0,8.260370269705554,417634.5954046055
3663,4,3,39,18085.729447494847,0,0,0,1.0329068021018435,735338.3727644751
3456,3,1,5,12846.600913699407,1,1,0,3.8805360776522426,697436.6195607696
3294,2,2,21,3494.4714680916604,0,0,1,4.795968177425133,586214.1564895342
3307,3,3,0,6884.142510998593,1,0,1,3.0674465531490855,649498.3465822291
1767,2,1,3,4834.104016796682,2,0,1,2.796144543063449,378824.6338077783
1271,3,3,45,18267.703456620384,2,0,0,1.340060559361117,330106.8737972962
3217,3,3,48,15447.60127846217,3,0,1,6.790327525627845,731954.7289535615
3747,5,3,49,13851.569009290115,1,0,0,3.362592614348491,738859.0706647604
1722,3,3,42,6718.360073000812,2,0,1,1.4711246058818177,363791.1492051811
936,4,3,28,4496.850668954057,3,0,0,3.078813794752573,259728.91941747465
1166,3,1,20,15372.570671789324,3,0,0,8.217225575525138,414948.3880126302
3759,2,2,25,10009.000971702513,0,0,0,8.663402634818919,730412.7705637874
983,3,2,13,5290.001490861953,3,0,1,5.347596206739724,343683.01010083524
3319,1,2,8,12715.817585140227,2,0,0,4.744636033678176,692318.5578605372
2198,2,2,46,1766.3431906305875,0,1,0,9.800683241516035,503987.5138254317
3501,1,1,11,7197.234828436816,1,0,1,2.805081936292629,621018.3585727606
3596,2,1,41,9902.582897231558,1,0,0,2.9382335456914763,590838.3075517269
1336,4,1,5,3811.208348078711,2,0,0,3.6268045933275976,330484.01376436616
3649,4,3,19,19708.435074225952,2,0,0,2.554815864529786,804771.8614119986
2402,4,3,23,4972.849927202671,0,1,0,4.414290383837679,522099.35191091365
2073,1,3,26,3476.709470822045,0,0,1,9.197508042907785,437512.3174072051
3767,5,2,37,4867.162603851031,2,0,1,6.538130565657169,733769.5487472245
3357,2,3,7,15612.16153003476,2,0,0,4.707518937510373,702511.3315299414
3477,4,2,0,9084.607526165013,1,0,1,9.409697151140932,732110.2377938385
3849,2,3,48,11742.902855298222,1,1,0,1.4361780922824008,668147.2158397174
1896,1,2,48,1399.1739827408542,1,0,0,2.8924856011167526,342363.7105205693
2105,5,3,23,1654.1948628929765,2,0,0,6.092997445915831,468753.42384647066
1715,1,3,46,9470.685446713307,3,0,0,6.539973608738612,461456.996538951
3881,2,1,6,16516.44962083085,2,0,0,1.3560175590635182,728313.0934544454
951,5,3,18,17819.538695443738,2,0,1,4.6273488211641896,404412.7596268284
1828,5,3,21,2647.4247843171643,1,0,1,6.842385683477855,460979.2578864432
2018,1,1,34,11228.898939919432,2,0,0,7.282634917630615,457545.5099393804
2777,4,2,29,18351.36403930614,0,1,0,6.743259122646424,618193.4256557521
3311,2,1,28,8371.482333559841,2,0,1,3.885069019248321,608554.7757558567
3984,3,1,21,16761.750797139004,2,0,1,1.8416811123811856,787097.859135894
1070,3,2,10,3540.217433589288,2,0,1,4.844012017774007,316830.44674029044
1986,1,3,19,18772.495303688174,2,1,0,2.158789936312499,486880.2375239156
1259,2,2,28,15277.043033094751,3,0,1,9.528612926686003,445244.76926165126
904,2,3,40,18885.35346295113,2,0,0,5.276537794203654,353909.38345360407
2510,1,3,41,13855.727437497622,0,0,0,3.855332569211808,558649.8555384903
3009,2,2,33,7904.674707989113,0,0,0,7.896736640070101,606602.0668183581
3198,4,1,0,18825.442277969727,2,0,0,5.481537333240375,678392.4332120463
1233,1,2,30,6235.768749874391,1,0,0,3.7903062161120507,284717.9762521791
3699,4,3,29,7311.277919172918,3,0,0,8.307709681517215,781134.7989534643
939,2,2,47,14315.359942033067,2,0,0,8.804369359010098,362883.67352884036
2294,1,2,17,15541.009690982339,2,0,1,7.057073496598093,522575.14597833506
886,2,3,16,18658.666193133922,2,1,0,1.4226798016690057,338494.26337219594
2511,1,1,37,4891.24577206798,1,1,0,6.096905921498789,478630.1895253655
3030,2,2,13,16161.962669165256,1,0,0,7.869654207975534,654173.7169331927
3215,4,3,22,15032.375014542306,1,0,1,2.22852710875224,693613.9386451017
928,4,3,24,2212.0965688183596,3,0,0,3.0580367624614304,292765.8212573441
2069,2,2,14,8357.239682993932,0,0,0,8.942455945613228,470997.7086471508
2401,1,1,45,6372.543684141873,3,1,0,1.1810954966776663,447166.83296668436
1469,3,2,21,6785.318062726577,1,0,1,7.774544240433784,393800.3968155536
948,4,1,2,19675.990711539314,0,0,1,5.263959632629806,420053.60968312994
1784,4,1,18,13212.77085611863,0,0,0,5.020949429556461,435440.51190506504
1651,3,1,43,14635.846998076491,1,0,0,1.0638687924539845,346178.2910894665
2256,2,1,33,19555.735108985173,1,0,1,8.374584078698435,587867.8592563326
1427,1,2,34,8166.833866695135,3,0,0,4.238424105729099,371417.6377044326
2292,2,3,49,16234.963200603313,1,0,1,5.866890681704886,582977.1370305361
3293,5,3,0,9256.088302785412,0,0,0,7.095706177020935,747947.3769343384
2844,4,3,20,17521.139764484615,2,0,0,7.323666187941242,692596.6583591581
1683,5,3,28,4432.493284914761,1,1,0,9.60382052943465,472653.6368433577
3141,4,3,5,19006.037364221313,1,0,0,5.7820595791294815,710448.4472603151
2588,4,3,36,5156.662459806714,3,1,1,4.597475958769849,580116.5658546012
1049,5,2,0,7198.189632637699,3,0,1,9.583332638425372,400099.1672038617
3725,5,1,0,15367.65244802883,1,0,0,6.77899211522969,801176.9195382129
1747,2,3,26,8481.347689742728,0,0,1,3.6833532064890004,408304.6886523232
1774,5,2,20,12556.016158562486,0,1,0,2.1381782086321404,459690.30017545796
2125,2,3,15,9446.896520319142,2,1,0,8.582990513186632,558844.7188290819
3896,2,3,43,15105.028804705855,1,0,0,4.259634425147365,732048.3890125613
3636,2,1,39,5338.293795003606,3,1,1,6.944227492279881,681690.2105005712
1783,4,1,25,2110.701757500663,0,1,1,5.237347774293083,383143.7271967328
1688,4,1,15,6698.658551988258,2,0,1,2.790368018155345,384562.845586879
3737,5,3,27,10011.864632500176,1,0,1,6.415179477584186,781947.6799437002
2917,4,3,0,4192.380991660893,0,1,1,1.5461476205561409,581007.3746169782
3472,5,3,35,7741.148503471385,1,1,1,4.720082138840731,741267.8668405862
1674,4,1,9,8599.677347577803,1,0,1,5.9195344569730395,416240.02741928026
3983,1,2,42,2090.4450300771973,0,1,1,4.924422767067211,716285.601584737
2126,1,3,16,12082.837715499887,0,0,0,7.738049577258917,506046.3179633263
1270,5,3,22,17802.525131454462,0,0,0,8.451324590907813,482714.53340209817
2787,4,3,6,3883.115346107996,1,0,0,7.941187666298602,587372.6348915206
890,4,2,43,12358.352254628766,1,0,0,1.349316530306219,309453.3083993001
1329,2,3,6,13630.04489330608,2,0,0,2.7471589340137497,361084.8167518758
1460,3,2,43,8967.358927966477,3,0,0,5.829467583373969,357830.3326663559
1538,5,3,14,14320.85415992113,1,1,1,9.413398363994212,523099.954631017
3573,3,2,33,8803.899326329229,3,0,0,8.51461097546905,797418.3893590729
1671,3,3,45,10588.108471571262,0,0,0,8.582810575166215,459822.75280989095
2486,5,1,44,1139.7078465341126,1,0,0,3.728873743837074,478946.5587398665
991,4,1,3,14142.682168559088,2,0,1,4.865031073708323,368417.45881270914
2786,5,1,13,13565.510899949764,2,1,0,5.236353525843437,617199.2204681371
2985,3,1,13,1729.6166692005468,3,0,0,2.416344250149194,549582.4133748119
1144,4,3,15,7996.752040507528,0,1,1,1.279613172200107,336929.93793088116
1808,1,1,6,19601.60497504168,3,0,1,9.522126095144651,561610.6207995431
3350,5,2,31,8993.99468880372,0,0,0,3.1664132709715607,641460.3518220012
1002,5,1,18,10536.962697504992,2,0,0,3.1595401335126816,299014.6839311037
1372,4,1,1,18288.673005034652,3,0,0,1.7504114839188358,369951.4919169792
991,1,1,9,14627.975641449371,2,0,1,9.356569767494006,369655.86561969924
2852,1,3,49,12059.332491360248,2,0,0,6.217634034457948,602632.0394717572
2713,4,1,16,16158.288945480377,0,0,0,7.003331714128185,580742.9981058735
2516,2,2,36,17422.959062663493,3,0,0,9.204191985367473,621619.9872482037
1110,5,1,11,9680.87336300807,3,0,0,4.110581520107106,344173.7724920086
3396,5,1,5,10027.058933704873,2,0,1,6.593565800242757,739239.8678686272
2903,3,1,21,8334.96777738488,2,0,0,1.3491950925599872,565364.1521705623
1242,4,2,31,19367.41666035075,0,0,0,2.680952754080164,366332.19671484095
2060,3,1,40,14246.158831516657,1,1,0,8.481212245809482,497315.6189330362
1669,3,2,19,2581.2382579533732,1,0,0,7.9009152070450215,384152.9117493242
1384,1,2,0,17396.23284294735,2,0,0,4.155784223114322,427381.5597074618
2394,5,1,46,10130.638875889093,1,1,1,4.391295649967912,541975.9387415757
3599,3,2,5,2306.324222027262,1,0,1,5.801989901982215,724824.5957209795
2337,1,3,18,11444.62784810291,1,0,1,1.0021690421662108,496766.92603192123
1159,4,1,17,8926.12130053834,1,0,1,3.1711990243422505,334767.3094896832
2523,3,1,5,17677.238692389874,2,0,1,2.87408627747393,587851.5285614518
3666,5,2,44,4875.89746857836,1,1,0,3.254346520747871,668360.1762621821
2877,3,2,32,16702.827580351477,1,1,1,8.253152582800972,690734.6787320176
2602,4,1,22,11596.085132523602,0,1,1,3.5170647089179887,537711.0947245565
2811,3,3,22,2037.595761055912,2,0,1,2.7236918984513334,548376.6508322437
2955,5,2,25,19465.06072518421,3,0,0,5.538371147137283,700262.4078197549
1643,1,2,12,10739.689637960799,3,0,0,8.790805327354587,425549.8236527008
2425,5,3,6,6526.660230400067,0,0,1,3.172147334537499,546291.5209879288
3564,1,3,14,9918.729997795903,0,0,1,1.7068261851351882,634294.5321310147
1690,2,1,43,17299.29788683229,2,0,1,4.207642622646983,449439.3121398626
2791,5,3,26,6793.1593633162065,3,0,0,7.7288664210848,622615.7173853221
2782,5,1,25,4660.851533247306,1,0,0,5.956214902253151,540124.0582043924
1759,4,3,32,3452.353691686748,0,1,0,8.351140326169126,424916.0534003034
2268,3,2,14,6659.328569414014,3,1,1,9.636329328483106,570272.8594751479
3740,1,1,35,15820.913653760826,2,0,0,8.133962290764554,706791.9550373136
2261,1,1,44,9960.900938709972,1,0,0,6.434227709593781,453328.7990073211
1531,4,1,26,5322.150470177259,2,0,1,5.440074292471424,405651.23578226217
1405,4,3,4,4157.514992585235,0,1,0,1.3606217771344,344369.5607394735
3304,3,2,1,7321.860053697203,3,0,1,9.858897809326372,705747.9060436169
1414,3,1,32,18858.563084828467,3,0,0,4.4513301031753825,408431.38278727233
3545,5,1,15,7517.507539210463,3,0,1,2.3700539252518014,692295.9924660685
2804,2,1,22,19774.357443138073,3,0,0,7.000379698568111,676607.7834530858
2519,3,1,37,10219.378659541768,1,0,1,3.558594601859134,529847.2596871083
1473,4,2,15,4404.114447512867,1,0,1,6.272004438379429,397302.5791648155
2070,3,3,13,17931.66174407668,2,0,0,6.280911170601321,565568.7513935876
3390,1,2,28,9746.75208956171,1,0,0,5.011568388125823,638661.8229654655
2387,2,1,25,14483.755526585965,0,0,0,8.525067539905383,536711.1894138597
3704,5,2,34,19690.52008097388,0,0,1,3.384703553998987,799078.4420134906
2411,1,1,14,1953.331656079506,3,1,1,5.037693324559608,466082.01098966866
1696,1,3,2,2837.1966359637754,0,0,0,5.839229157318743,400337.18501582515
2262,2,3,22,14688.678087792367,2,1,1,6.9726224869056965,585253.7857942632
1077,5,3,28,6354.675062613968,1,0,0,8.055746654550305,357051.0534335059
1351,4,1,33,4501.726542051882,1,0,1,4.5532655459043045,321133.3694954282
2436,5,2,32,1747.8757165748605,1,0,1,6.814422496869364,532357.0839628518
2958,3,3,40,1415.0875277378343,0,0,0,2.355498577616672,528459.8340847626
3232,1,1,40,15715.226459276026,1,0,0,9.393832904882307,662020.4136106638
1560,3,1,22,3554.23512002145,3,0,0,4.447529257789032,340193.3132756645
3541,4,2,6,9886.691703451866,3,0,0,7.565692797787946,709133.77744612
2249,3,3,2,12512.039488410177,3,0,0,1.1830697369395988,495264.8199244135
1204,5,1,31,9138.684210808078,0,1,0,2.846684286143263,314014.36099025357
2158,3,2,30,1515.026394388429,1,1,0,5.383742898912202,461137.182404401
2032,4,3,17,15886.528549170269,0,0,0,8.90427220959112,589037.0825353927
821,4,2,42,1199.7512662914162,1,1,0,5.745296349556094,251282.59595674966
1477,4,2,6,15475.907993172195,2,0,0,9.368834340644911,455143.26629736676
3458,5,1,40,17972.785381974332,2,0,0,5.354172069245167,708815.7257762614
2828,4,1,0,9223.958500086273,0,1,1,5.414041870623549,617527.1065587092
2031,1,1,13,11175.306988858167,3,0,1,2.0777210965047868,450576.45510526415
2855,4,2,31,10062.684459735421,0,0,0,8.223906197369978,629869.3885337678
3549,3,1,5,8394.963753845337,3,0,0,3.2226887122035626,689605.8658559476
2608,3,2,38,17861.066172036844,1,1,1,9.096512404350836,674855.0666559321
1328,3,2,9,17984.73670272982,3,1,1,9.197417982973565,490020.19059392135
2837,5,1,6,7380.510928189156,3,0,0,9.489791006867348,684413.2683844434
3449,3,3,25,12686.325326279262,1,0,0,5.68207440192781,701007.0002274992
2476,5,3,33,18611.24368077142,2,0,0,7.093844063052799,632081.4705612033
1456,5,3,29,19279.11147988568,1,0,0,8.00664292055497,509278.5280404319
965,4,2,35,10670.221768018902,0,0,0,2.1791315678541903,283720.92507839174
1648,1,2,20,9603.67130040221,0,0,0,6.408614754977475,344487.569171331
1295,4,2,16,6295.19200264199,0,0,1,1.308681111729805,315925.48773644504
1389,4,1,32,19218.56559061779,0,0,0,5.478094750498533,415463.07057980396
1228,5,2,9,3713.4717849844797,0,0,0,2.3935841345820466,275333.79468015174
3621,5,1,46,12016.761944906775,2,0,0,2.6463063336587624,702710.7289637013
962,3,1,41,6368.455082854139,2,1,0,4.285428100233414,287299.6352168739
3213,3,3,11,6301.157516608136,3,0,0,4.891934500448527,679553.5422645534
